00100010000000019147905225外国府間                                                   000007814
00100010000000026525937918無栗屋                                                    000005654
00100010000000032830794958鍛冶ケ沢                                                   000008324
00100010000000043972468624上野桜木                                                   000009288
00100010000000053333952167芝浦                                                     000009882
00100010000000065857660187土沢                                                     000002487
00100010000000072686962469太田ヶ谷                                                   000007504
00100010000000088771086456六番町                                                    000003567
00100010000000098936246087猿楽町                                                    000007142
00100010000000101849553198大京町                                                    000004171
00100010000000115788915871芝公園                                                    000004817
00100010000000122487882256東大和町                                                   000006042
00100010000000139451161247睦                                                      000006988
00100010000000144288458967脚折                                                     000006988
00100010000000157556804201丹勢                                                     000000758
00100010000000166297704714西神田                                                    000007011
00100010000000176715937346皇居外苑                                                   000006378
00100010000000186016122120中鉢石町                                                   000004568
00100010000000194997000696北青山                                                    000001670
00100010000000207982927083鶴ヶ丘                                                    000006805
00100010000000213139415276吾妻橋                                                    000002633
00100010000000222727423116四番町                                                    000001765
00100010000000238464082615外国府間                                                   000006849
00100010000000245254188218皇居外苑                                                   000004353
00100010000000253720927673羽折町                                                    000002494
00100010000000261836460338浅草橋                                                    000003049
00100010000000275877403822松浦町                                                    000002613
00100010000000288013354095箭坪                                                     000008948
00100010000000293215314423湯本塩原                                                   000004200
00100010000000309167886030中小来川                                                   000004904
00100010000000317465071765睦                                                      000000556
00100010000000329755928623木立                                                     000008868
00100010000000332463370830浅草橋                                                    000002613
00100010000000347159572482猿楽町                                                    000000472
00100010000000354272325448明石町                                                    000003931
00100010000000367995527663丸の内                                                    000004655
00100010000000372730369685氏家新田                                                   000008529
00100010000000381764619746前弥六                                                    000008138
00100010000000395017714009虎ノ門                                                    000001412
00100010000000408131220034雷門                                                     000001482
00100010000000414338515297長畑                                                     000005451
00100010000000427851971211湯本塩原                                                   000009506
00100010000000432237567409皇居外苑                                                   000006431
00100010000000446792705572六番町                                                    000007785
00100010000000453584153709天神島                                                    000003088
00100010000000465965749211長畑                                                     000005147
00100010000000471945966835吾妻橋                                                    000003704
00100010000000488526839658戸山                                                     000006379
00100010000000495655884716竜泉                                                     000001735
00100010000000502421459779外国府間                                                   000007655
00100010000000519740585781蟇沼                                                     000009130
00100010000000529803764829中鉢石町                                                   000000883
00100010000000536430658463千塚                                                     000004845
00100010000000546215082243花川戸                                                    000001046
00100010000000558965941832五味ヶ谷                                                   000005954
00100010000000564633543685上広谷                                                    000003776
00100010000000574687922259四区町                                                    000003745
00100010000000585987108334丸の内                                                    000004927
00100010000000597417412444上吉羽                                                    000005404
00100010000000601508168314長間                                                     000005111
00100010000000617911065280高田馬場                                                   000004216
00100010000000622393982985上広谷                                                    000005869
00100010000000637801102290港南                                                     000003315
00100010000000641370734663湯宮                                                     000005737
00100010000000652890419383山中新田                                                   000003694
00100010000000669408491666池之端                                                    000006686
00100010000000673837599068中鉢石町                                                   000008083
00100010000000689816134424吾妻橋                                                    000002631
00100010000000699548829967四区町                                                    000006318
00100010000000705555905521芝公園                                                    000006953
00100010000000719828652166西関宿                                                    000003691
00100010000000725242181565権現堂                                                    000002627
00100010000000739385441967轟                                                      000007287
00100010000000743205699362蔵前                                                     000004846
00100010000000754958679918横林                                                     000008512
00100010000000769369480532豊町                                                     000004153
00100010000000776717009739渡辺                                                     000001297
00100010000000782108699670松浦町                                                    000001745
00100010000000794621209519松浦町                                                    000002614
00100010000000805174118303西川                                                     000004700
00100010000000813340737447丸の内ＪＰタワー                                               000003286
00100010000000827573687876一ツ橋                                                    000000445
00100010000000831117193887橋場                                                     000006104
00100010000000848048693676百村                                                     000007759
00100010000000852081197058細野                                                     000006759
00100010000000861074537129明石町                                                    000005154
00100010000000872788272307上吉羽                                                    000006212
00100010000000883874329341脚折町                                                    000004987
00100010000000895005380552南赤田                                                    000003162
00100010000000904276453842上高野                                                    000003095
00100010000000914635689854中川崎                                                    000002163
00100010000000926936647066津久戸町                                                   000007584
00100010000000933070554028丹勢                                                     000005713
00100010000000943976249631脚折町                                                    000009429
00100010000000951790482764勝どき                                                    000009211
00100010000000964932137692氏家新田                                                   000005956
00100010000000974504038878所野                                                     000002115
00100010000000988855733312西神田                                                    000009639
00100010000000996953227870芝大門                                                    000004179
00100010000001002469213272南郷屋                                                    000002602
00100010000001016698705176津久戸町                                                   000003886
00100010000001026439204893大中                                                     000003616
00100010000001033121308549押上                                                     000009843
00100010000001044410973361津久戸町                                                   000009940
